,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2665128231048584,0.10777659247923602,0.011165046691894531,0.003161381094679613,0.4,0,0.01,5,150,0.5,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.5}",0.2831858407079646,0.2743362831858407,0.35398230088495575,0.2831858407079646,0.336283185840708,0.30619469026548674,0.03244301376959888,209
1,1.3149978637695312,0.11538280715065355,0.0094085693359375,0.000670410399373308,0.4,0,0.01,5,150,0.7,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.2920353982300885,0.3008849557522124,0.336283185840708,0.2831858407079646,0.3274336283185841,0.30796460176991153,0.020488206907593325,180
2,1.2863215446472167,0.1692248606671713,0.010987329483032226,0.0020285507019608064,0.4,0,0.01,5,150,0.9,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.9}",0.2831858407079646,0.3274336283185841,0.336283185840708,0.25663716814159293,0.3185840707964602,0.304424778761062,0.029931919513783656,226
3,1.5253103733062745,0.04652316973690659,0.01312704086303711,0.0032975160424311423,0.4,0,0.01,5,200,0.5,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.5}",0.2831858407079646,0.2831858407079646,0.3274336283185841,0.2743362831858407,0.336283185840708,0.3008849557522124,0.025648454418034417,238
4,2.4061094760894775,0.2634187674136185,0.019601106643676758,0.007282957596104746,0.4,0,0.01,5,200,0.7,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.3008849557522124,0.30973451327433627,0.35398230088495575,0.3008849557522124,0.34513274336283184,0.3221238938053097,0.022803714560575433,29
5,1.838719654083252,0.08190408378146954,0.014887857437133788,0.003108585903355997,0.4,0,0.01,5,200,0.9,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.9}",0.2831858407079646,0.3274336283185841,0.36283185840707965,0.2831858407079646,0.3274336283185841,0.31681415929203544,0.03034766053005708,73
6,2.462022399902344,0.5357396962016138,0.020917701721191406,0.008937389491212467,0.4,0,0.01,5,250,0.5,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.5}",0.2920353982300885,0.2920353982300885,0.3274336283185841,0.2920353982300885,0.336283185840708,0.30796460176991153,0.01970890039939831,180
7,3.0489134788513184,0.571857942436232,0.01457972526550293,0.0017128742494630887,0.4,0,0.01,5,250,0.7,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.7}",0.2831858407079646,0.2831858407079646,0.35398230088495575,0.3008849557522124,0.336283185840708,0.3115044247787611,0.02875765806950783,119
8,2.37496075630188,0.07064775754985213,0.013788795471191407,0.0024975676812932896,0.4,0,0.01,5,250,0.9,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.9}",0.2743362831858407,0.3008849557522124,0.35398230088495575,0.2831858407079646,0.336283185840708,0.30973451327433627,0.030655766505643854,170
9,1.406880521774292,0.10318026588353049,0.009520626068115235,0.0014021027802907748,0.4,0,0.01,6,150,0.5,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.5}",0.2920353982300885,0.2831858407079646,0.35398230088495575,0.2920353982300885,0.3274336283185841,0.3097345132743363,0.02684203697009398,149
10,1.5528795719146729,0.132030625995472,0.010723161697387695,0.0013302856794294225,0.4,0,0.01,6,150,0.7,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.7}",0.2920353982300885,0.3008849557522124,0.37168141592920356,0.3008849557522124,0.336283185840708,0.32035398230088497,0.029827078843102157,35
11,1.4565866947174073,0.13058063773674883,0.00928635597229004,0.00047873423382956994,0.4,0,0.01,6,150,0.9,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.9}",0.2920353982300885,0.3185840707964602,0.35398230088495575,0.2831858407079646,0.3185840707964602,0.31327433628318585,0.0247787610619469,110
12,1.650275421142578,0.05025683985612382,0.01022958755493164,0.0006314755224221957,0.4,0,0.01,6,200,0.5,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.2920353982300885,0.2831858407079646,0.34513274336283184,0.2920353982300885,0.3274336283185841,0.3079646017699115,0.02400824772787705,205
