,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3706090450286865,0.019559055068961467,0.005058717727661133,0.0005415642920020711,0.5,0,0.01,3,50,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.2831858407079646,0.3185840707964602,0.34513274336283184,0.26548672566371684,0.3274336283185841,0.30796460176991153,0.029297248419905917,193
1,0.3679783344268799,0.019256383069086218,0.004865598678588867,0.000758369099051471,0.5,0,0.01,3,50,0.7,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",0.3008849557522124,0.2920353982300885,0.34513274336283184,0.2743362831858407,0.35398230088495575,0.31327433628318585,0.030960806521302474,77
2,0.29583158493041994,0.06071345081372022,0.004325675964355469,0.0002529590967845304,0.5,0,0.01,3,50,0.9,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.9}",0.2831858407079646,0.2831858407079646,0.30973451327433627,0.24778761061946902,0.34513274336283184,0.2938053097345133,0.03234631306636648,633
3,0.5798368453979492,0.036078264999484334,0.005032062530517578,0.0005871232630446476,0.5,0,0.01,3,100,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.2743362831858407,0.3185840707964602,0.3274336283185841,0.2920353982300885,0.34513274336283184,0.3115044247787611,0.025279392667408317,95
4,0.5715670108795166,0.057423886950921585,0.004755449295043945,0.0003960639805152614,0.5,0,0.01,3,100,0.7,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.3008849557522124,0.2920353982300885,0.35398230088495575,0.2743362831858407,0.34513274336283184,0.31327433628318585,0.030960806521302474,77
5,0.5228879451751709,0.042222336500199256,0.005658102035522461,0.001817894524760411,0.5,0,0.01,3,100,0.9,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.26548672566371684,0.2831858407079646,0.3274336283185841,0.26548672566371684,0.336283185840708,0.2955752212389381,0.030450708909885403,580
6,1.1478459358215332,0.09896780352173433,0.008139324188232423,0.00360593266426326,0.5,0,0.01,3,200,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.2743362831858407,0.3185840707964602,0.3274336283185841,0.25663716814159293,0.34513274336283184,0.304424778761062,0.03339462347630656,299
7,1.2640923500061034,0.14928434357807743,0.009050416946411132,0.00355364931267714,0.5,0,0.01,3,200,0.7,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.2920353982300885,0.2920353982300885,0.35398230088495575,0.2743362831858407,0.3274336283185841,0.3079646017699115,0.028757658069507825,231
8,1.0592519760131835,0.019563188535536558,0.00671682357788086,0.0005684809043844126,0.5,0,0.01,3,200,0.9,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.2743362831858407,0.26548672566371684,0.34513274336283184,0.25663716814159293,0.3185840707964602,0.2920353982300885,0.03404492754278113,686
9,0.43955264091491697,0.06562081604218592,0.005309534072875976,0.0009481074385609049,0.5,0,0.01,4,50,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.5}",0.2831858407079646,0.34513274336283184,0.336283185840708,0.2831858407079646,0.30973451327433627,0.31150442477876106,0.02589157316518194,133
10,0.4045735836029053,0.07230214931353017,0.005140495300292969,0.000480532120368649,0.5,0,0.01,4,50,0.7,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.7}",0.2743362831858407,0.3008849557522124,0.37168141592920356,0.3008849557522124,0.34513274336283184,0.3185840707964601,0.03495295160731239,31
11,0.3603971004486084,0.04490714349350662,0.005454254150390625,0.002406425563492725,0.5,0,0.01,4,50,0.9,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 50, 'subsample': 0.9}",0.2831858407079646,0.2920353982300885,0.3008849557522124,0.23893805309734514,0.3185840707964602,0.2867256637168142,0.02660760420950957,829
12,0.8566781520843506,0.07311296526012957,0.0067940235137939455,0.0020888777387842636,0.5,0,0.01,4,100,0.5,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.5}",0.2920353982300885,0.3185840707964602,0.3185840707964602,0.30973451327433627,0.30973451327433627,0.3097345132743363,0.009694204557613554,145
